"","V","I"
"1",0.084,1.732
"2",1.022,1.731
"3",1.971,1.732
"4",2.927,1.731
"5",3.858,1.73
"6",4.804,1.73
"7",5.763,1.73
"8",6.719,1.729
"9",7.689,1.727
"10",8.669,1.728
"11",9.744,1.726
"12",10.501,1.691
"13",11.46,1.688
"14",12.391,1.686
"15",13.358,1.684
"16",14.307,1.682
"17",15.256,1.68
"18",16.215,1.677
"19",17.136,1.675
"20",18.067,1.673
"21",19.023,1.672
"22",19.976,1.671
"23",20.907,1.671
"24",21.87,1.67
"25",22.808,1.67
"26",23.754,1.67
"27",24.71,1.669
"28",25.662,1.669
"29",26.6,1.668
"30",27.556,1.669
"31",28.551,1.668
"32",29.615,1.667
"33",30.94,1.666
"34",33.128,1.659
"35",34.75,1.463
"36",35.563,1.145
"37",36.117,0.834
"38",36.508,0.558
"39",36.756,0.349
"40",36.786,0.314
"41",37.127,0
