"","V","I"
"61",0.016,9.409
"62",0.047,9.408
"63",0.092,9.414
"64",0.122,9.408
"65",0.151,9.406
"66",0.207,9.413
"67",0.235,9.406
"68",0.276,9.406
"69",0.323,9.411
"70",0.37,9.406
"71",0.422,9.404
"72",0.462,9.407
"73",0.519,9.409
"74",0.574,9.405
"75",0.626,9.403
"76",0.694,9.41
"77",0.745,9.404
"78",0.797,9.403
"79",0.877,9.409
"80",0.931,9.402
"81",1.003,9.401
"82",1.068,9.405
"83",1.135,9.403
"84",1.216,9.401
"85",1.29,9.4
"86",1.371,9.405
"87",1.443,9.4
"88",1.527,9.398
"89",1.622,9.405
"90",1.696,9.398
"91",1.778,9.396
"92",1.88,9.402
"93",1.961,9.394
"94",2.052,9.394
"95",2.136,9.397
"96",2.239,9.397
"97",2.342,9.393
"98",2.428,9.392
"99",2.545,9.399
"100",2.646,9.394
"101",2.75,9.391
"102",2.871,9.398
"103",2.975,9.391
"104",3.087,9.389
"105",3.202,9.394
"106",3.311,9.388
"107",3.43,9.388
"108",3.542,9.388
"109",3.66,9.39
"110",3.776,9.386
"111",3.889,9.384
"112",4.019,9.39
"113",4.124,9.384
"114",4.245,9.382
"115",4.371,9.389
"116",4.483,9.382
"117",4.607,9.381
"118",4.723,9.385
"119",4.847,9.382
"120",4.973,9.379
"121",5.091,9.379
"122",5.222,9.384
"123",5.34,9.378
"124",5.458,9.377
"125",5.607,9.384
"126",5.72,9.377
"127",5.842,9.375
"128",5.973,9.381
"129",6.097,9.375
"130",6.228,9.373
"131",6.342,9.375
"132",6.47,9.376
"133",6.597,9.372
"134",6.715,9.37
"135",6.846,9.376
"136",6.958,9.371
"137",7.078,9.369
"138",7.215,9.375
"139",7.323,9.368
"140",7.448,9.368
"141",7.574,9.373
"142",7.699,9.369
"143",7.834,9.367
"144",7.948,9.367
"145",8.087,9.371
"146",8.214,9.365
"147",8.329,9.363
"148",8.471,9.37
"149",8.588,9.363
"150",8.71,9.36
"151",8.84,9.367
"152",8.961,9.361
"153",9.089,9.36
"154",9.217,9.362
"155",9.343,9.362
"156",9.474,9.358
"157",9.591,9.356
"158",9.724,9.362
"159",9.838,9.356
"160",9.95,9.355
"161",10.084,9.361
"162",10.186,9.355
"163",10.305,9.354
"164",10.423,9.36
"165",10.552,9.356
"166",10.678,9.356
"167",10.802,9.355
"168",10.93,9.358
"169",11.063,9.354
"170",11.182,9.352
"171",11.325,9.359
"172",11.444,9.351
"173",11.567,9.351
"174",11.71,9.356
"175",11.826,9.349
"176",11.959,9.349
"177",12.084,9.353
"178",12.226,9.35
"179",12.357,9.347
"180",12.48,9.345
"181",12.612,9.352
"182",12.744,9.346
"183",12.871,9.343
"184",13.008,9.351
"185",13.119,9.343
"186",13.246,9.342
"187",13.377,9.347
"188",13.497,9.342
"189",13.625,9.341
"190",13.744,9.343
"191",13.878,9.344
"192",14.001,9.341
"193",14.124,9.339
"194",14.266,9.345
"195",14.386,9.339
"196",14.503,9.337
"197",14.643,9.343
"198",14.757,9.336
"199",14.874,9.334
"200",14.993,9.339
"201",15.12,9.336
"202",15.244,9.334
"203",15.355,9.333
"204",15.488,9.338
"205",15.611,9.334
"206",15.732,9.332
"207",15.866,9.338
"208",15.972,9.331
"209",16.088,9.329
"210",16.21,9.335
"211",16.318,9.329
"212",16.437,9.328
