"","V","I"
"1",0,9.273629
"2",0.095976,9.273438
"3",0.191953,9.273435
"4",0.287929,9.273535
"5",0.383905,9.273576
"6",0.479882,9.273659
"7",0.575858,9.273672
"8",0.671834,9.273606
"9",0.767811,9.273463
"10",0.863787,9.273266
"11",0.959763,9.273036
"12",1.05574,9.27278
"13",1.151716,9.272515
"14",1.247693,9.272241
"15",1.343669,9.27195
"16",1.439645,9.271671
"17",1.535622,9.271357
"18",1.631598,9.271013
"19",1.727574,9.270665
"20",1.823551,9.270636
"21",1.919527,9.270417
"22",2.015503,9.27009
"23",2.11148,9.269729
"24",2.207456,9.269651
"25",2.303432,9.269216
"26",2.399409,9.268802
"27",2.495385,9.268419
"28",2.591361,9.268059
"29",2.687338,9.267704
"30",2.783314,9.267352
"31",2.87929,9.266943
"32",2.975267,9.266528
"33",3.071243,9.266116
"34",3.16722,9.265711
"35",3.263196,9.265328
"36",3.359172,9.265067
"37",3.455149,9.264788
"38",3.551125,9.264564
"39",3.647101,9.264393
"40",3.743078,9.264263
"41",3.839054,9.264246
"42",3.93503,9.264239
"43",4.031007,9.264235
"44",4.126983,9.264291
"45",4.222959,9.264429
"46",4.318936,9.264673
"47",4.414912,9.26499
"48",4.510888,9.26524
"49",4.606865,9.265262
"50",4.702841,9.265465
"51",4.798817,9.26568
"52",4.894794,9.265892
"53",4.99077,9.266226
"54",5.086747,9.266398
"55",5.182723,9.266402
"56",5.278699,9.266549
"57",5.374676,9.266683
"58",5.470652,9.266805
"59",5.566628,9.266921
"60",5.662605,9.266869
"61",5.758581,9.266972
"62",5.854557,9.26708
"63",5.950534,9.267192
"64",6.04651,9.267304
"65",6.142486,9.26739
"66",6.238463,9.267468
"67",6.334439,9.267413
"68",6.430415,9.267436
"69",6.526392,9.267429
"70",6.622368,9.267402
"71",6.718344,9.267388
"72",6.814321,9.267275
"73",6.910297,9.267231
"74",7.006274,9.26719
"75",7.10225,9.26714
"76",7.198226,9.267103
"77",7.294203,9.267031
"78",7.390179,9.266944
"79",7.486155,9.26679
"80",7.582132,9.266691
"81",7.678108,9.266591
"82",7.774084,9.266497
"83",7.870061,9.266459
"84",7.966037,9.266406
"85",8.062013,9.266329
"86",8.15799,9.266256
"87",8.253966,9.266189
"88",8.349942,9.266125
"89",8.445919,9.266142
"90",8.541895,9.266088
"91",8.637871,9.266037
"92",8.733848,9.265977
"93",8.829824,9.265908
"94",8.9258,9.265828
"95",9.021777,9.265827
"96",9.117753,9.265715
"97",9.21373,9.265597
"98",9.309706,9.265476
"99",9.405682,9.26535
"100",9.501659,9.265215
"101",9.597635,9.265074
"102",9.693611,9.264918
"103",9.789588,9.264753
"104",9.885564,9.264584
"105",9.98154,9.264418
"106",10.077517,9.26426
"107",10.173493,9.264202
"108",10.269469,9.264025
"109",10.365446,9.263884
"110",10.461422,9.263752
"111",10.557398,9.263625
"112",10.653375,9.263501
"113",10.749351,9.263485
"114",10.845327,9.263312
"115",10.941304,9.263271
"116",11.03728,9.263162
"117",11.133257,9.263062
"118",11.229233,9.26296
"119",11.325209,9.262962
"120",11.421186,9.262781
"121",11.517162,9.26266
"122",11.613138,9.262543
"123",11.709115,9.262355
"124",11.805091,9.262277
"125",11.901067,9.262306
"126",11.997044,9.262146
"127",12.09302,9.26211
"128",12.188996,9.262083
"129",12.284973,9.262056
"130",12.380949,9.262027
"131",12.476925,9.262094
"132",12.572902,9.261986
"133",12.668878,9.261987
"134",12.764854,9.262014
"135",12.860831,9.262059
"136",12.956807,9.262119
"137",13.052784,9.262266
"138",13.14876,9.262328
"139",13.244736,9.262373
"140",13.340713,9.262405
"141",13.436689,9.262432
"142",13.532665,9.262448
"143",13.628642,9.262556
"144",13.724618,9.262422
"145",13.820594,9.26239
"146",13.916571,9.262225
"147",14.012547,9.262149
"148",14.108523,9.262053
"149",14.2045,9.261947
"150",14.300476,9.261816
"151",14.396452,9.261686
"152",14.492429,9.26156
"153",14.588405,9.261435
"154",14.684381,9.261307
"155",14.780358,9.261272
"156",14.876334,9.261041
"157",14.97231,9.260892
"158",15.068287,9.26075
"159",15.164263,9.260725
"160",15.26024,9.260621
"161",15.356216,9.260532
"162",15.452192,9.260437
"163",15.548169,9.260373
"164",15.644145,9.260315
"165",15.740121,9.260263
"166",15.836098,9.260215
"167",15.932074,9.260173
"168",16.02805,9.26006
"169",16.124027,9.260029
"170",16.220003,9.260008
"171",16.315979,9.259993
"172",16.411956,9.259981
"173",16.507932,9.260074
"174",16.603908,9.260037
"175",16.699885,9.259875
"176",16.795861,9.259813
"177",16.891837,9.259752
"178",16.987814,9.259692
"179",17.08379,9.259637
"180",17.179767,9.259686
"181",17.275743,9.259506
"182",17.371719,9.259415
"183",17.467696,9.259412
"184",17.563672,9.259309
"185",17.659648,9.259205
"186",17.755625,9.259097
"187",17.851601,9.259016
"188",17.947577,9.258961
"189",18.043554,9.258933
"190",18.13953,9.258828
"191",18.235506,9.25883
"192",18.331483,9.258918
"193",18.427459,9.258852
"194",18.523435,9.25883
"195",18.619412,9.25879
"196",18.715388,9.258733
"197",18.811364,9.258665
"198",18.907341,9.258613
"199",19.003317,9.258518
"200",19.099294,9.258439
"201",19.19527,9.258376
"202",19.291246,9.25833
"203",19.387223,9.258407
"204",19.483199,9.258373
"205",19.579175,9.258358
"206",19.675152,9.25834
"207",19.771128,9.258318
"208",19.867104,9.258286
"209",19.963081,9.258242
"210",20.059057,9.258204
"211",20.155033,9.258053
"212",20.25101,9.258014
"213",20.346986,9.257995
"214",20.442962,9.258001
"215",20.538939,9.258119
"216",20.634915,9.258143
"217",20.730891,9.258055
"218",20.826868,9.258051
"219",20.922844,9.258024
"220",21.018821,9.257975
"221",21.114797,9.257977
"222",21.210773,9.257879
"223",21.30675,9.257688
"224",21.402726,9.257583
"225",21.498702,9.257478
"226",21.594679,9.257498
"227",21.690655,9.257394
"228",21.786631,9.257374
"229",21.882608,9.25711
"230",21.978584,9.256958
"231",22.07456,9.256724
"232",22.170537,9.256539
"233",22.266513,9.256411
"234",22.362489,9.256058
"235",22.458466,9.255826
"236",22.554442,9.255601
"237",22.650418,9.255389
"238",22.746395,9.255191
"239",22.842371,9.255029
"240",22.938347,9.254766
"241",23.034324,9.254615
"242",23.1303,9.254472
"243",23.226277,9.25434
"244",23.322253,9.254217
"245",23.418229,9.254151
"246",23.514206,9.253991
"247",23.610182,9.253977
"248",23.706158,9.253879
"249",23.802135,9.253781
"250",23.898111,9.253678
"251",23.994087,9.25356
"252",24.090064,9.253364
"253",24.18604,9.253183
"254",24.282016,9.252971
"255",24.377993,9.252735
"256",24.473969,9.252482
"257",24.569945,9.252332
"258",24.665922,9.251967
"259",24.761898,9.251665
"260",24.857874,9.25135
"261",24.953851,9.251019
"262",25.049827,9.250686
"263",25.145804,9.250468
"264",25.24178,9.250116
"265",25.337756,9.249833
"266",25.433733,9.249574
"267",25.529709,9.249332
"268",25.625685,9.24914
"269",25.721662,9.249034
"270",25.817638,9.24878
"271",25.913614,9.248561
"272",26.009591,9.248346
"273",26.105567,9.248138
"274",26.201543,9.247815
"275",26.29752,9.247753
"276",26.393496,9.247532
"277",26.489472,9.247232
"278",26.585449,9.246978
"279",26.681425,9.246717
"280",26.777401,9.246462
"281",26.873378,9.24633
"282",26.969354,9.246111
"283",27.065331,9.245804
"284",27.161307,9.245607
"285",27.257283,9.245411
"286",27.35326,9.245205
"287",27.449236,9.245109
"288",27.545212,9.244806
"289",27.641189,9.244576
"290",27.737165,9.244469
"291",27.833141,9.244246
"292",27.929118,9.244024
"293",28.025094,9.243971
"294",28.12107,9.243618
"295",28.217047,9.243344
"296",28.313023,9.242921
"297",28.408999,9.242627
"298",28.504976,9.242336
"299",28.600952,9.242201
"300",28.696928,9.241747
"301",28.792905,9.24142
"302",28.888881,9.241077
"303",28.984858,9.240719
"304",29.080834,9.240357
"305",29.17681,9.240175
"306",29.272787,9.239757
"307",29.368763,9.239438
"308",29.464739,9.239149
"309",29.560716,9.238885
"310",29.656692,9.238639
"311",29.752668,9.238707
"312",29.848645,9.238363
"313",29.944621,9.238116
"314",30.040597,9.237862
"315",30.136574,9.237597
"316",30.23255,9.237327
"317",30.328526,9.237274
"318",30.424503,9.236852
"319",30.520479,9.236554
"320",30.616455,9.236051
"321",30.712432,9.235755
"322",30.808408,9.235465
"323",30.904384,9.235367
"324",31.000361,9.234905
"325",31.096337,9.234577
"326",31.192314,9.23424
"327",31.28829,9.233892
"328",31.384266,9.233537
"329",31.480243,9.233373
"330",31.576219,9.232847
"331",31.672195,9.23247
"332",31.768172,9.232101
"333",31.864148,9.231906
"334",31.960124,9.231542
"335",32.056101,9.231166
"336",32.152077,9.230712
"337",32.248053,9.230259
"338",32.34403,9.229773
"339",32.440006,9.229245
"340",32.535982,9.228668
"341",32.631959,9.228047
"342",32.727935,9.227255
"343",32.823911,9.226421
"344",32.919888,9.225608
"345",33.015864,9.224734
"346",33.111841,9.223791
"347",33.207817,9.222758
"348",33.303793,9.221514
"349",33.39977,9.220252
"350",33.495746,9.218851
"351",33.591722,9.217289
"352",33.687699,9.21555
"353",33.783675,9.213625
"354",33.879651,9.211488
"355",33.975628,9.209151
"356",34.071604,9.206605
"357",34.16758,9.203851
"358",34.263557,9.201037
"359",34.359533,9.197821
"360",34.455509,9.194375
"361",34.551486,9.190635
"362",34.647462,9.186616
"363",34.743438,9.182304
"364",34.839415,9.177686
"365",34.935391,9.172763
"366",35.031368,9.167528
"367",35.127344,9.162109
"368",35.22332,9.156236
"369",35.319297,9.150043
"370",35.415273,9.143533
"371",35.511249,9.136688
"372",35.607226,9.129497
"373",35.703202,9.121863
"374",35.799178,9.114295
"375",35.895155,9.10601
"376",35.991131,9.097312
"377",36.087107,9.088199
"378",36.183084,9.078652
"379",36.27906,9.068521
"380",36.375036,9.058013
"381",36.471013,9.047044
"382",36.566989,9.036205
"383",36.662965,9.024236
"384",36.758942,9.011748
"385",36.854918,8.99858
"386",36.950895,8.984974
"387",37.046871,8.970733
"388",37.142847,8.955849
"389",37.238824,8.940296
"390",37.3348,8.924024
"391",37.430776,8.907485
"392",37.526753,8.889706
"393",37.622729,8.87116
"394",37.718705,8.851805
"395",37.814682,8.831598
"396",37.910658,8.811198
"397",38.006634,8.789304
"398",38.102611,8.766229
"399",38.198587,8.742422
"400",38.294563,8.717623
"401",38.39054,8.691783
"402",38.486516,8.664877
"403",38.582492,8.637721
"404",38.678469,8.60853
"405",38.774445,8.578115
"406",38.870421,8.54693
"407",38.966398,8.514012
"408",39.062374,8.479776
"409",39.158351,8.444202
