"","V","I"
"1",0,0.266647
"2",0.05879,0.266647
"3",0.058809,0.266604
"4",0.090675,0.266184
"5",0.10958,0.265991
"6",0.1242,0.265968
"7",0.137538,0.265684
"8",0.150278,0.265857
"9",0.164442,0.266147
"10",0.178645,0.266085
"11",0.191417,0.265671
"12",0.205341,0.26519
"13",0.219791,0.265035
"14",0.234151,0.264918
"15",0.246832,0.264708
"16",0.261659,0.264504
"17",0.275173,0.26435
"18",0.288824,0.263596
"19",0.302311,0.263047
"20",0.316384,0.262892
"21",0.329228,0.262411
"22",0.343562,0.262059
"23",0.356562,0.261157
"24",0.371071,0.259811
"25",0.383414,0.258891
"26",0.396973,0.25731
"27",0.410363,0.256094
"28",0.423741,0.253704
"29",0.437398,0.250845
"30",0.451113,0.246849
"31",0.462923,0.241471
"32",0.475045,0.234412
"33",0.486523,0.225477
"34",0.498437,0.211768
"35",0.507483,0.196854
"36",0.517368,0.175763
"37",0.525452,0.15175
"38",0.53254,0.125364
"39",0.538693,0.09718
"40",0.543876,0.068064
"41",0.548382,0.039917
"42",0.551777,0.016068
"43",0.553273,0.003483
"44",0.55365,3.7e-05
"45",0.553689,-0.000414
"46",0.553754,-9.3e-05
"47",0.55378,0.000124
"48",0.553689,0
