Index,Sample#,Values
0,100,0.49
1,98,1.34
2,35,1.63
3,17,2.05
4,76,3.33
5,44,7.54
6,83,7.58
7,15,7.72
8,88,8.32
9,70,9.64
10,16,9.82
11,54,10.8
12,68,11.33
13,25,11.41
14,78,11.73
15,62,12.13
16,80,12.2
17,93,14.99
18,27,15.06
19,64,15.51
20,48,15.65
21,61,15.82
22,56,18.27
23,96,20.92
24,55,22.79
25,47,23.19
26,65,24.27
27,60,26.93
28,58,29.0
29,86,31.69
30,31,32.6
31,95,33.13
32,79,33.97
33,77,34.37
34,81,37.77
35,49,38.57
36,91,39.28
37,41,44.93
38,50,45.62
39,66,46.95
40,10,49.41
41,30,55.04
42,82,55.42
43,42,56.35
44,5,56.59
45,52,58.27
46,7,58.73
47,33,60.05
48,23,60.62
49,59,63.19
50,72,64.95
51,87,73.08
52,29,75.71
53,12,76.49
54,4,77.18
55,1,78.42
56,85,82.38
57,51,83.67
58,13,84.15
59,34,85.94
60,89,86.98
61,97,87.51
62,74,92.02
63,3,92.79
64,37,95.65
65,38,95.8
66,36,96.94
67,26,104.09
68,6,105.71
69,57,106.45
70,63,106.97
71,45,109.2
72,92,110.4
73,46,110.91
74,40,115.44
75,84,118.01
76,43,119.91
77,94,125.34
78,2,126.49
79,75,134.33
80,32,149.73
81,19,150.71
82,24,152.62
83,11,156.49
84,22,159.18
85,67,171.12
86,99,176.12
87,18,180.53
88,69,180.67
89,20,204.43
90,8,222.17
91,14,260.8
92,90,265.24
93,39,288.41
94,28,288.69
95,9,330.42
96,71,374.83
97,73,375.45
98,21,386.41
99,53,444.78
