Index,Sample#,Values
0,35,7.59
1,17,8.17
2,44,24.85
3,15,29.47
4,16,36.46
5,25,50.35
6,48,55.21
7,27,61.89
8,47,94.48
9,31,122.91
10,49,151.58
11,41,178.21
12,50,180.84
13,10,193.44
14,30,214.23
15,5,220.42
16,42,229.81
17,7,230.21
18,33,243.63
19,23,247.57
20,29,295.13
21,12,301.07
22,4,314.88
23,1,318.35
24,13,335.77
25,34,336.13
26,3,369.29
27,37,378.8
28,38,383.82
29,36,384.55
30,26,408.57
31,6,415.26
32,45,439.56
33,46,444.24
34,40,458.06
35,43,478.44
36,2,502.37
37,32,595.3
38,19,602.31
39,24,606.61
40,11,627.56
41,22,642.1
42,18,715.0
43,20,816.13
44,8,889.41
45,14,1039.3
46,39,1151.17
47,28,1157.77
48,9,1325.96
49,21,1538.09
