Sample#,Failure_time
1,201.855
2,405.807
3,641.054
4,975.193
5,957.636
6,5509.049
7,544.962
8,218.691
9,157.729
10,237.6
11,645.737
12,1336.946
13,940.145
14,244.652
15,5649.786
16,1193.566
17,681.9
18,785.967
19,1863.387
20,275.518
21,3455.154
22,61.228
23,1407.215
24,274.512
25,730.286
26,1420.635
27,1017.898
28,631.54
29,3364.924
30,501.878
31,2715.507
32,4871.632
33,1382.011
34,331.709
35,6200.976
36,280.705
37,697.305
38,1070.963
39,556.315
40,1789.514
41,4100.819
42,1539.23
43,639.749
44,1760.766
45,115.673
46,414.983
47,2023.899
48,343.926
49,29.337
50,563.427
51,3595.762
52,432.515
53,843.666
54,1735.565
55,2680.501
56,3305.681
57,219.769
58,235.546
59,1694.062
60,370.349
61,3314.007
62,1187.664
63,617.071
64,1814.317
65,267.241
66,3563.841
67,406.006
68,3317.203
69,932.613
70,1472.72
71,325.412
72,209.315
73,331.484
74,199.734
75,108.299
76,3770.176
77,203.287
78,3182.384
79,3880.655
80,1000.747
81,729.852
82,458.205
83,1241.557
84,843.858
85,2260.966
86,41.189
87,58.844
88,177.865
89,2615.396
90,777.474
91,977.666
92,1008.69
93,1175.639
94,687.097
95,4103.948
96,3552.581
97,1950.393
98,635.322
99,2284.772
100,2701.089
101,1851.322
102,4065.853
103,7.843
104,165.65
105,5625.681
106,1924.777
107,1577.374
108,228.584
109,1219.611
110,232.835
111,2008.017
112,61.656
113,1031.287
114,833.41
115,1058.357
116,391.726
117,506.772
118,385.219
119,1038.298
120,3219.426
121,880.111
122,1592.122
123,849.502
124,546.208
125,111.939
126,5879.486
127,1483.27
128,1313.709
129,2763.113
130,1739.87
131,197.596
132,789.735
133,325.371
134,505.029
135,5397.526
136,327.978
137,465.57
138,749.341
139,613.391
140,2168.747
141,1105.469
142,1290.357
143,1455.29
144,1987.828
145,5060.102
146,183.252
147,2273.946
148,342.806
149,265.504
150,424.401
151,2018.141
152,1187.353
153,3895.116
154,1486.875
155,778.651
156,1780.571
157,414.933
158,349.902
159,1058.596
160,750.344
161,1651.985
162,681.77
163,1370.87
164,908.231
165,1028.923
166,40.367
167,2843.374
168,390.24
169,187.748
170,938.214
171,1222.802
172,486.379
173,348.125
174,3926.095
175,321.723
176,180.825
177,2463.984
178,906.623
179,166.182
180,559.465
181,1443.743
182,831.535
183,1449.313
184,290.477
185,1479.861
186,1691.614
187,778.836
188,2703.764
189,82.26
190,282.41
191,4560.981
192,2308.086
193,949.01
194,4065.648
195,1076.274
196,2772.323
197,363.752
198,174.4
199,2724.857
200,521.627
201,700.492
202,344.04
203,38.239
204,683.863
205,1337.484
206,2246.469
207,1305.101
208,2156.978
209,1003.645
210,4898.456
211,502.538
212,1896.747
213,2145.13
214,484.357
215,41.098
216,103.3
217,2425.102
218,89.952
219,857.704
220,2227.397
221,173.078
222,959.378
223,191.164
224,28.058
225,650.01
226,487.236
227,331.618
228,55.612
229,78.568
230,2289.04
231,1218.67
232,2400.576
233,77.378
234,417.044
235,424.185
236,483.968
237,1169.756
238,141.789
239,2568.32
240,1374.096
241,915.871
242,1659.646
243,1013.721
244,1291.085
245,4065.18
246,3012.832
247,896.577
248,3175.489
249,560.053
250,1796.545
251,10.876
252,486.832
253,2105.668
254,1132.16
255,354.557
256,1051.192
257,358.226
258,2548.44
259,938.165
260,1003.239
261,535.133
262,830.557
263,2964.776
264,350.186
265,5619.54
266,1424.207
267,1248.416
268,757.757
269,177.968
270,170.148
271,1217.818
272,717.437
273,913.635
274,2335.556
275,2065.119
276,1162.335
277,3346.186
278,3004.19
279,2211.23
280,190.893
281,311.536
282,444.484
283,135.483
284,3880.316
285,3779.879
286,61.64
287,852.498
288,97.511
289,3290.09
290,1709.241
291,94.963
292,300.73
293,1069.487
294,327.353
295,212.457
296,1091.005
297,3629.044
298,3153.94
299,402.495
300,1890.435
301,297.272
302,499.988
303,2805.187
304,2835.055
305,52.537
306,10.222
307,6482.54
308,3294.01
309,1603.928
310,572.493
311,2738.026
312,1261.608
313,102.574
314,2664.543
315,150.449
316,424.122
317,1398.87
318,6146.78
319,1352.102
320,416.895
321,778.339
322,221.316
323,642.689
324,323.705
325,257.8
326,1165.249
327,2111.731
328,214.383
329,56.292
330,402.585
331,525.659
332,1302.263
333,982.304
334,711.464
335,186.469
336,364.999
337,395.159
338,270.876
339,3555.563
340,210.194
341,1840.446
342,1974.369
343,45.71
344,1352.501
345,803.061
346,707.242
347,2141.083
348,3190.629
349,1787.019
350,194.131
351,192.37
352,906.191
353,556.628
354,1412.409
355,603.923
356,511.967
357,2645.533
358,75.887
359,2384.948
360,921.735
361,1957.516
362,211.326
363,948.758
364,3900.938
365,1672.594
366,40.08
367,50.632
368,1681.18
369,120.405
370,338.587
371,148.753
372,4794.918
373,3098.373
374,4180.593
375,2725.27
376,215.655
377,1420.996
378,1382.631
379,284.566
380,680.123
381,5132.541
382,659.561
383,98.724
384,835.912
385,4516.63
386,275.789
387,621.983
388,640.775
389,2228.607
390,968.26
391,4127.136
392,392.652
393,1074.906
394,1527.425
395,1270.401
396,3037.706
397,618.398
398,321.295
399,410.919
400,265.691
401,2167.977
402,394.441
403,1668.187
404,296.867
405,1240.037
406,2169.673
407,608.122
408,3231.34
409,714.222
410,143.008
411,1665.745
412,2028.197
413,1468.962
414,1939.411
415,1427.952
416,1586.044
417,477.019
418,2586.745
419,4175.357
420,883.872
421,1504.945
422,846.505
423,841.563
424,276.48
425,1122.353
426,298.055
427,1155.205
428,2080.754
429,550.277
430,2548.743
431,2481.703
432,2323.922
433,1641.788
434,1238.632
435,2172.98
436,910.406
437,1516.434
438,2651.1
439,963.178
440,375.903
441,109.03
442,668.405
