Index,Sample#,Values
0,88,-28.75
1,61,-19.97
2,25,-16.74
3,98,-15.21
4,78,-14.19
5,76,-12.59
6,35,-4.8
7,70,-1.44
8,60,0.7
9,100,0.91
10,80,1.69
11,17,2.31
12,27,5.13
13,79,6.43
14,55,7.53
15,95,8.31
16,54,11.56
17,47,12.74
18,15,16.28
19,62,22.68
20,58,24.0
21,81,25.82
22,16,26.78
23,42,29.97
24,23,30.13
25,83,30.37
26,64,30.75
27,56,34.5
28,93,35.55
29,96,37.27
30,68,38.14
31,44,39.37
32,33,39.38
33,4,40.31
34,87,49.07
35,1,50.46
36,86,51.95
37,85,52.97
38,41,53.96
39,49,54.7
40,50,55.4
41,48,60.03
42,91,61.38
43,77,61.41
44,51,65.19
45,97,68.23
46,66,69.61
47,52,71.21
48,74,72.19
49,59,72.69
50,10,74.72
51,31,77.42
52,65,81.47
53,7,87.02
54,13,89.15
55,30,90.57
56,38,92.08
57,5,92.31
58,45,92.53
59,82,101.73
60,3,103.96
61,12,105.83
62,72,106.07
63,46,107.32
64,94,109.72
65,63,110.97
66,89,115.49
67,36,116.2
68,92,118.05
69,37,118.38
70,84,120.11
71,57,120.29
72,29,121.86
73,22,126.83
74,43,127.07
75,34,131.79
76,75,131.96
77,40,137.57
78,11,146.81
79,2,148.11
80,69,149.08
81,67,149.21
82,26,150.73
83,6,151.21
84,19,153.75
85,99,165.19
86,32,171.48
87,24,175.89
88,20,214.08
89,8,217.85
90,18,223.4
91,28,270.76
92,90,272.85
93,14,284.24
94,39,303.14
95,9,304.72
96,73,357.57
97,71,373.2
98,53,428.59
99,21,431.6
