Index,Sample#,Values
0,100,0.010732467133508289
1,35,0.09678422551055753
2,98,0.10782253798515555
3,17,0.10877158587585559
4,76,0.3137986511039327
5,44,0.6289827650053552
6,83,0.6970880922200398
7,15,0.82354116351796
8,16,1.1521785904618207
9,88,1.3050343670267923
10,70,1.3551512144011848
11,68,1.3787185918961498
12,54,1.4974453462288073
13,62,1.707092563272041
14,25,1.9169749923497132
15,80,1.929345992122468
16,78,1.9696766784480235
17,48,2.217070219094014
18,93,2.301331580924503
19,64,2.4938201029458478
20,27,2.654886112165202
21,61,3.169795176815869
22,56,3.250654209776813
23,96,4.054241951539273
24,65,4.589000925483778
25,55,5.109409884613554
26,47,5.1751163746867785
27,60,6.77866871039975
28,58,7.234544689964293
29,31,7.837434754013631
30,86,7.883139136419063
31,77,8.872376765424578
32,95,9.264786990964772
33,79,9.67546270889029
34,49,10.910665078426941
35,81,11.080998974735275
36,91,11.120279589722987
37,41,14.083953002815484
38,50,14.413731802445524
39,66,14.813734255729445
40,10,16.029879117166445
41,82,18.792909626553122
42,30,18.830693736591623
43,5,19.6967707595898
44,42,21.037421300608482
45,7,21.094460680438033
46,52,21.198947713542765
47,33,23.067915188588582
48,23,23.65908710777203
49,59,24.204920174010926
50,72,24.472761981014344
51,29,31.21812176105717
52,87,31.41406131555416
53,12,32.2150244055274
54,4,34.57740116614806
55,1,35.180416575181845
56,85,38.026446535071706
57,13,38.266065038501615
58,34,38.33095212855552
59,51,38.62594646444608
60,89,39.60242763373917
61,97,41.455872269088516
62,3,44.46418419290175
63,74,44.864198312813585
64,37,46.28414208342839
65,38,47.25573763548819
66,36,47.39824458920244
67,26,52.153177987375834
68,6,53.5071253296066
69,57,55.1905574941765
70,63,55.95984812607179
71,45,58.53050639921634
72,92,58.693071491133864
73,46,59.51549859832341
74,40,62.46222375285727
75,84,65.41778349981608
76,43,66.9048063116214
77,2,72.26029520894642
78,94,72.6240286193663
79,75,80.43879243511238
80,32,94.45025195721517
81,19,96.21150649158885
82,24,97.29766651090542
83,11,102.65066584754454
84,22,106.42758230965777
85,67,118.71423817181855
86,99,123.69597051743366
87,18,126.10818725651697
88,69,129.72592434009917
89,20,155.38002023323304
90,8,177.95839013531403
91,14,227.5315105125955
92,90,234.61832250674857
93,39,267.35655487818224
94,28,269.77988779266974
95,9,334.16379034538585
96,71,405.7785046028341
97,73,407.98296989904185
98,21,422.32683143908935
99,53,532.641924014466
