Index,Sample#,Values
0,100,2904.825133150699
1,35,13990.234238421066
2,98,15113.061841972913
3,17,15208.028155947035
4,76,32432.160638370566
5,44,53313.27774957169
6,83,57378.638776696134
7,15,64639.76531211703
8,16,82175.36514029058
9,88,89828.39232082822
10,70,92280.90358208264
11,68,93425.22196618142
12,54,99107.76548774644
13,62,108838.84267238359
14,25,118244.40034236349
15,80,118789.34467451648
16,78,120559.0456631959
17,48,131198.6079447127
18,93,134743.78373713873
19,64,142706.92511981385
20,27,149236.05157320647
21,61,169395.75301228432
22,56,172473.38150161688
23,96,201975.54451906568
24,65,220678.92582532883
25,55,238291.16469245937
26,47,240477.58987860775
27,60,291652.72124753153
28,58,305542.07034634164
29,31,323533.5116702442
30,86,324880.9991139975
31,77,353526.9168112136
32,95,364634.20222619496
33,79,376115.74369100266
34,49,409844.5681284659
35,81,414407.9781079585
36,91,415457.4967709002
37,41,491893.3784129207
38,50,500099.0274488571
39,66,509980.51394156885
40,10,539568.4619518629
41,82,604523.309416892
42,30,605391.8412710321
43,5,625166.3628746776
44,42,655295.1523620969
45,7,656564.6545294609
46,52,658887.6437926563
47,33,699906.6313872187
48,23,712681.4487926328
49,59,724395.9039218405
50,72,730116.6153044251
51,29,868886.6848493303
52,87,872781.372209775
53,12,888630.70425563
54,4,934737.7112715832
55,1,946361.1435177327
56,85,1000474.6918720761
57,13,1004976.9800862903
58,34,1006194.78468337
59,51,1011723.8633495584
60,89,1029940.8685422841
61,97,1064170.3922739653
62,3,1118815.0787335124
63,74,1126000.46113483
64,37,1151360.7052748336
65,38,1168585.5864690635
66,36,1171103.480378458
67,26,1253927.8051320328
68,6,1277111.4859427353
69,57,1305705.0193161573
70,63,1318688.576872295
71,45,1361710.7759611441
72,92,1364413.1160316307
73,46,1378051.8772759838
74,40,1426485.1221020757
75,84,1474413.1287356692
76,43,1498292.6969208603
77,2,1583073.7858735954
78,94,1588765.6613895528
79,75,1709173.6964770353
80,32,1917053.9036888767
81,19,1942539.1031714343
82,24,1958189.3850200067
83,11,2034606.2463112976
84,22,2087840.186080417
85,67,2257424.941556672
86,99,2324739.974195921
87,18,2357055.9819150404
88,69,2405193.848532543
89,20,2736323.767099096
90,8,3014988.1016766927
91,14,3593939.8689539717
92,90,3673602.4335399144
93,39,4033125.515144197
94,28,4059222.2634585733
95,9,4730237.711448973
96,71,5434523.109190688
97,73,5455610.450204393
98,21,5592036.973401472
99,53,6601033.217918838
