Sample#,Failure_time
1,685.185
2,1987.797
3,78.825
4,2382.173
5,376.711
6,672.748
7,781.66
8,1231.294
9,1057.196
10,726.776
11,258.183
12,1102.811
13,289.63
14,723.095
15,530.771
16,15.429
17,669.744
18,2246.482
19,823.531
20,90.972
21,1758.775
22,955.155
23,144.22
24,40.689
25,430.946
26,38.712
27,303.67
28,840.555
29,40.628
30,431.407
31,2258.568
32,210.274
33,120.759
34,1450.994
35,176.783
36,604.164
37,74.753
38,2026.465
39,1539.806
40,308.528
41,57.492
42,415.907
43,290.104
44,2279.041
45,1485.918
46,832.399
47,1439.244
48,854.495
49,778.905
50,65.329
51,1830.309
52,1655.668
53,692.774
54,196.35
55,629.448
56,1399.325
57,268.592
58,1021.216
59,136.943
60,978.487
61,1276.086
62,171.59
63,925.456
64,1907.26
65,1678.518
66,907.501
67,1619.142
68,80.476
69,701.009
70,1053.827
71,259.378
72,667.458
73,397.107
74,797.379
75,1048.776
76,1185.023
77,1205.025
78,1694.424
79,171.072
80,1117.348
81,1121.048
82,179.629
83,46.526
84,408.314
85,276.169
86,183.807
87,1113.742
88,984.51
89,2070.59
90,222.697
91,270.219
92,639.141
93,1667.344
94,1350.122
95,168.467
96,349.384
97,103.061
98,1233.691
99,65.245
100,1963.831
101,473.579
102,288.986
103,618.577
104,981.138
105,168.765
106,843.361
107,2136.708
108,2208.065
109,3699.401
110,757.249
111,208.23
112,741.816
113,367.493
114,3031.881
115,120.091
116,952.466
117,938.503
118,769.634
119,186.642
120,179.918
121,20.951
122,1274.994
123,861.42
124,325.794
125,564.011
126,91.103
127,890.363
128,467.725
129,84.38
130,782.451
131,1840.332
132,425.473
133,144.229
134,559.016
135,645.173
136,1403.843
137,255.385
138,1328.504
139,142.414
140,249.596
141,32.001
142,546.521
143,38.971
144,2688.718
145,554.178
146,1016.028
147,1165.699
148,270.278
149,651.943
150,3958.295
151,73.332
152,1064.825
153,784.615
154,2288.501
155,517.094
156,188.741
157,825.895
158,260.522
159,438.356
160,632.533
161,502.248
162,631.379
163,2528.157
164,425.58
165,418.69
166,364.798
167,1050.148
168,1342.959
169,274.073
170,519.833
171,6223.625
172,637.342
173,1470.722
174,412.938
175,1438.836
176,134.355
177,487.178
178,1511.079
179,300.653
180,368.273
181,885.565
182,379.339
183,1079.574
184,457.178
185,29.574
186,383.817
187,921.496
188,30.76
189,3713.985
190,216.385
191,88.765
192,1013.03
193,843.696
194,694.796
195,1577.81
196,1005.494
197,236.754
198,1151.681
199,525.684
200,290.72
201,1867.563
202,61.877
203,290.471
204,558.469
205,178.784
206,1246.174
207,136.038
