Sample#,Failure_time
1,85.087
2,348.724
3,372.871
4,94.938
5,675.107
6,231.804
7,1012.395
8,634.586
9,475.486
10,1956.58
11,24.651
12,436.997
13,500.706
14,218.65
15,149.256
16,1026.646
17,312.259
18,965.414
19,598.84
20,1573.492
21,1253.055
22,853.991
23,85.786
24,151.868
25,1913.602
26,801.759
27,904.759
28,76.512
29,342.425
30,152.226
31,808.073
32,515.952
33,69.917
34,1647.14
35,190.557
36,44.03
37,1158.624
38,315.587
39,1346.627
40,608.646
41,958.452
42,496.497
43,472.745
44,662.321
45,957.052
46,1349.444
47,1371.422
48,637.566
49,284.543
50,845.257
51,205.447
52,747.783
53,471.552
54,3.485
55,1323.625
56,876.61
57,457.548
58,56.969
59,1212.946
60,2810.926
61,3325.107
62,266.311
63,479.486
64,606.605
65,753.608
66,64.238
67,645.176
68,1289.344
69,192.045
70,773.676
71,271.733
72,366.608
73,522.748
74,1411.498
75,3457.433
76,23.722
77,73.769
78,739.612
79,234.658
80,237.325
81,88.55
82,25.12
83,248.75
84,3073.6
85,613.163
86,900.953
87,330.745
88,960.999
89,1167.61
90,770.767
91,211.882
92,540.85
93,295.774
94,1256.399
95,1238.035
96,2162.545
97,104.382
98,335.522
99,663.965
100,1110.969
101,808.925
102,93.092
103,1391.595
104,1687.982
105,802.495
106,268.431
107,499.582
108,656.081
109,1750.632
110,2237.622
111,208.392
112,194.97
113,3085.567
114,1264.522
115,626.264
116,912.527
117,1799.753
118,57.083
119,268.586
120,1120.646
121,1325.564
122,31.732
123,460.587
124,2706.21
125,404.623
126,130.166
127,129.977
128,2108.55
129,1314.726
130,824.66
131,20.055
132,837.347
133,275.829
134,2144.448
135,399.144
136,902.487
137,1149.2
138,3850.651
139,1820.58
140,2560.046
141,1115.121
142,1189.46
143,923.818
144,37.36
145,1646.948
146,279.992
147,1363.416
148,1153.658
149,559.639
150,719.537
151,1015.79
152,328.55
153,88.162
154,345.806
155,1669.767
156,319.278
157,1303.247
158,243.189
159,1681.967
160,160.712
161,670.32
162,1401.452
163,290.317
164,314.483
165,235.301
166,839.893
167,957.996
168,1662.75
169,213.98
170,904.011
171,1650.742
172,575.614
173,159.384
174,1205.36
175,2208.276
176,1965.394
177,88.337
178,446.918
179,278.835
180,245.247
181,1297.986
182,2208.347
183,38.2
184,763.298
185,384.253
186,2677.49
187,1001.119
188,1378.43
189,1234.403
190,200.906
191,1723.927
192,1197.241
193,271.748
194,4.597
195,711.022
196,2.45
197,1267.858
198,46.491
199,3790.643
200,931.719
201,1100.926
202,2402.336
203,455.745
204,753.546
205,98.173
206,3706.491
207,1069.84
208,622.644
209,121.061
210,204.899
211,440.22
212,1561.541
213,523.537
214,255.717
215,1247.14
216,980.065
217,801.537
218,161.862
219,97.747
220,461.508
221,1326.724
222,746.38
223,1909.963
224,1943.038
225,1611.887
226,1400.536
227,1021.307
228,1054.979
229,517.75
230,242.344
231,3657.239
232,682.399
233,3426.336
234,488.412
235,1330.982
236,450.149
237,1678.011
238,335.672
239,621.684
240,585.469
241,2752.844
242,792.605
243,1650.671
244,129.026
245,233.871
246,165.211
247,360.411
248,1957.8
249,152.55
250,648.173
251,1220.711
252,3353.347
253,10.293
254,461.219
255,526.625
256,961.738
257,430.502
258,3086.742
259,1053.674
260,23.546
261,213.209
262,108.862
263,327.037
264,982.557
265,2406.746
266,11.909
267,610.125
268,24.2
269,1282.387
270,3240.893
271,353.439
272,23.056
273,602.723
274,890.223
275,939.019
276,422.56
277,2599.209
278,494.45
279,56.42
280,2565.418
281,2910.608
282,310.539
283,1469.073
284,1.243
285,713.543
286,623.958
287,162.645
288,845.486
289,180.826
290,862.251
291,340.909
292,988.635
293,399.795
294,587.864
295,474.348
296,881.435
297,342.978
298,248.675
299,1377.024
300,1165.466
301,111.692
302,5.506
303,666.228
304,1085.526
305,2132.325
306,4106.597
307,810.063
308,175.859
309,269.701
310,591.125
311,2241.721
312,1597.758
313,562.08
314,1335.828
315,1172.167
316,2494.379
317,824.037
318,184.789
319,933.092
320,3374.79
321,720.686
322,2203.798
323,1390.283
324,350.247
325,419.84
326,39.053
327,101.763
328,3608.926
329,1055.093
330,1713.301
331,850.562
332,309.247
333,190.392
334,1431.793
335,377.363
336,2297.423
337,795.344
338,2031.317
339,74.202
340,3504.179
341,203.206
342,94.319
343,1509.874
344,55.216
345,844.223
346,1124.507
347,291.654
348,1449.648
349,683.667
350,542.984
351,1699.984
352,1094.366
353,2142.083
354,293.071
355,172.551
356,1076.96
357,32.769
358,283.46
359,4524.803
360,714.966
361,1089.291
362,467.426
363,252.984
364,56.689
365,473.65
366,209.412
367,1734.143
368,268.473
369,448.822
370,1424.955
371,443.454
372,2961.038
373,1172.499
374,1305.67
375,380.505
376,1068.634
377,311.755
378,1149.998
379,74.727
380,410.05
381,1342.153
382,715.2
383,1573.636
384,7660.908
385,336.009
386,738.527
387,1186.193
388,940.852
389,245.127
390,160.143
391,99.958
392,574.004
393,47.018
394,543.487
395,1208.478
396,2594.723
397,2076.204
398,1449.815
399,997.083
400,2080.325
401,636.62
402,14.069
403,641.613
404,627.839
405,72.719
406,976.357
407,89.627
408,642.575
409,1141.935
410,1439.612
411,749.661
412,896.365
413,864.628
414,262.526
415,483.235
416,95.572
417,286.087
418,1324.508
419,1426.146
420,933.603
421,83.433
422,3484.666
423,368.972
424,412.613
425,693.174
426,958.212
427,1730.518
428,244.255
429,378.578
430,1689.178
431,429.603
432,572.185
433,9.118
434,3106.042
435,877.889
436,965.604
437,375.246
438,1729.381
439,663.255
440,501.604
441,186.858
442,1472.315
443,1443.936
444,586.028
445,264.073
446,45.071
447,314.805
448,65.76
449,139.373
450,579.034
451,225.101
452,1343.621
453,2100.544
454,20.468
455,564.82
456,1710.691
457,1203.315
458,938.503
459,304.134
460,312.56
461,64.405
462,995.379
463,1318.291
464,2215.142
465,49.301
466,847.831
467,13.541
468,1752.89
469,922.561
470,1704.013
471,2552.1
472,1144.663
473,36.828
474,22.986
475,1348.72
476,2201.308
477,444.471
478,759.31
479,565.6
480,443.734
481,449.225
482,2195.404
483,476.609
484,73.221
485,1012.173
486,551.059
487,260.687
488,979.185
489,1084.689
490,63.729
491,439.093
492,3069.813
493,919.822
494,1013.675
495,904.855
496,157.225
497,366.8
498,1643.783
499,2777.764
500,267.413
501,1038.384
502,304.138
503,171.138
504,473.888
505,1128.304
506,246.433
507,232.227
508,1739.918
509,123.576
510,214.408
511,547.577
512,598.255
513,769.89
514,2226.52
515,1574.599
516,10.186
517,845.72
518,1161.939
519,2325.682
520,739.887
521,56.827
522,645.324
523,1586.817
524,58.892
525,1289.279
526,78.424
527,5727.631
528,98.567
529,2622.274
530,41.76
531,845.551
532,1495.983
533,377.128
534,444.266
535,525.294
536,984.817
537,429.953
538,117.869
539,1574.71
540,4951.135
541,879.015
542,1716.351
543,1403.783
544,2019.524
545,1244.258
546,430.667
547,414.37
548,902.453
549,1749.066
550,459.514
551,16.722
552,1342.975
553,489.96
554,354.6
555,1301.351
556,102.216
557,400.621
558,510.304
559,185.091
560,214.173
561,19.453
562,899.427
563,83.714
564,3772.667
565,104.559
566,127.077
567,537.29
568,179.219
569,1069.687
